date,close
2017-07-17,73.3
2017-07-18,73.86
2017-07-19,74.22
2017-07-20,73.79
2017-07-23,73.6
2017-07-24,74.19
2017-07-25,74.05
2017-07-26,73.16
2017-07-27,73.04
2017-07-30,72.7
2017-07-31,72.58
2017-08-01,72.26
2017-08-02,72.15
2017-08-03,72.68
2017-08-06,72.4
2017-08-07,72.79
2017-08-08,72.47
2017-08-09,71.41
2017-08-10,72.5
2017-08-13,73.59
2017-08-14,73.22
2017-08-15,73.65
2017-08-16,72.4
2017-08-17,72.49
2017-08-20,72.15
2017-08-21,73.16
2017-08-22,72.72
2017-08-23,72.69
2017-08-24,72.82
2017-08-27,72.83
2017-08-28,73.05
2017-08-29,74.01
2017-08-30,74.77
2017-08-31,73.94
2017-09-04,73.61
2017-09-05,73.4
2017-09-06,74.34
2017-09-07,73.98
2017-09-10,74.76
2017-09-11,74.68
2017-09-12,75.21
2017-09-13,74.77
2017-09-14,75.31
2017-09-17,75.16
2017-09-18,75.44
2017-09-19,74.94
2017-09-20,74.21
2017-09-21,74.41
2017-09-24,73.26
2017-09-25,73.26
2017-09-26,73.85
2017-09-27,73.87
2017-09-28,74.49
2017-10-01,74.61
2017-10-02,74.26
2017-10-03,74.69
2017-10-04,75.97
2017-10-05,76.0
2017-10-08,76.29
2017-10-09,76.29
2017-10-10,76.42
2017-10-11,77.12
2017-10-12,77.49
2017-10-15,77.65
2017-10-16,77.59
2017-10-17,77.61
2017-10-18,77.91
2017-10-19,78.81
2017-10-22,78.83
2017-10-23,78.86
2017-10-24,78.63
2017-10-25,78.76
2017-10-26,83.81
2017-10-29,83.89
2017-10-30,83.18
2017-10-31,83.18
2017-11-01,84.05
2017-11-02,84.14
2017-11-05,84.47
2017-11-06,84.27
2017-11-07,84.56
2017-11-08,84.09
2017-11-09,83.87
2017-11-12,83.93
2017-11-13,84.05
2017-11-14,82.98
2017-11-15,83.2
2017-11-16,82.4
2017-11-19,82.53
2017-11-20,83.72
2017-11-21,83.11
2017-11-23,83.26
2017-11-26,83.87
2017-11-27,84.88
2017-11-28,83.34
2017-11-29,84.17
2017-11-30,84.26
2017-12-03,81.08
2017-12-04,81.59
2017-12-05,82.78
2017-12-06,82.49
2017-12-07,84.16
2017-12-10,85.23
2017-12-11,85.58
2017-12-12,85.35
2017-12-13,84.69
2017-12-14,86.85
2017-12-17,86.38
2017-12-18,85.83
2017-12-19,85.52
2017-12-20,85.5
2017-12-21,85.51
2017-12-25,85.4
2017-12-26,85.71
2017-12-27,85.72
2017-12-28,85.54
2018-01-01,85.95
2018-01-02,86.35
2018-01-03,87.11
2018-01-04,88.19
2018-01-07,88.28
2018-01-08,88.22
2018-01-09,87.82
2018-01-10,88.08
2018-01-11,89.6
2018-01-15,88.35
2018-01-16,90.14
2018-01-17,90.1
2018-01-18,90.0
2018-01-21,91.61
2018-01-22,91.9
2018-01-23,91.82
2018-01-24,92.33
2018-01-25,94.06
2018-01-28,93.92
2018-01-29,92.74
2018-01-30,95.01
2018-01-31,94.26
2018-02-01,91.78
2018-02-04,88.0
2018-02-05,91.33
2018-02-06,89.61
2018-02-07,85.01
2018-02-08,88.18
2018-02-11,89.13
2018-02-12,89.83
2018-02-13,90.81
2018-02-14,92.66
2018-02-15,92.0
2018-02-19,92.72
2018-02-20,91.49
2018-02-21,91.73
2018-02-22,94.06
2018-02-25,95.42
2018-02-26,94.2
